Iteration,Drag_coef Monitor copy: Drag_coef Monitor copy,Lift_coef Monitor copy: Lift_coef Monitor copy,angleofattack Monitor: angleofattack Monitor (deg),reynoldnumb Monitor: reynoldnumb Monitor
14007,0.045463094,-0.021582896,-1,30000
20185,0.043091204,0.023690449,-1,40000
26335,0.041211414,0.053343278,-1,50000
31535,0.039302507,0.085063842,-1,60000
36329,0.037369188,0.11710005,-1,70000
40868,0.035386737,0.149857926,-1,80000
44732,0.033437939,0.180402329,-1,90000
48589,0.031525729,0.209191929,-1,100000
12810,0.051515097,-0.121647497,-2,30000
18834,0.048960638,-0.0922675,-2,40000
24485,0.047020684,-0.072569977,-2,50000
25623,0.045316589,-0.053587546,-2,60000
30916,0.043613646,-0.032377965,-2,70000
32061,0.041652036,-0.004836103,-2,80000
36786,0.039662474,0.02285019,-2,90000
40942,0.037544009,0.052272314,-2,100000
12642,0.060658327,-0.230261607,-3,30000
18030,0.058798302,-0.22039586,-3,40000
22874,0.057786966,-0.217460456,-3,50000
27071,0.056888077,-0.211802817,-3,60000
30700,0.05610204,-0.205103818,-3,70000
34365,0.054957213,-0.190660532,-3,80000
38037,0.053477977,-0.170389759,-3,90000
42169,0.051525073,-0.14411039,-3,100000
9597,0.071376493,-0.300367437,-4,30000
12430,0.070536223,-0.302954839,-4,40000
14564,0.070263117,-0.306665567,-4,50000
16519,0.070227759,-0.309840494,-4,60000
18396,0.070246471,-0.311366868,-4,70000
20247,0.070201215,-0.310471346,-4,80000
22010,0.069902634,-0.305688215,-4,90000
23874,0.069281436,-0.296696761,-4,100000
9039,0.07990883,-0.297789464,-5,30000
10301,0.078683093,-0.294318348,-5,40000
11564,0.078067159,-0.293261839,-5,50000
12970,0.07770858,-0.293001869,-5,60000
14478,0.077560012,-0.29410946,-5,70000
15892,0.077448028,-0.295377973,-5,80000
17422,0.077372612,-0.296601146,-5,90000
18825,0.077340067,-0.297937941,-5,100000
16079,0.041675018,0.059892736,0,30000
22981,0.040336798,0.128277521,0,40000
29951,0.038683429,0.17476051,0,50000
35729,0.036761772,0.217704539,0,60000
40466,0.034859597,0.255813804,0,70000
44986,0.032895922,0.290299075,0,80000
48887,0.030963795,0.322109594,0,90000
52871,0.029033786,0.352409515,0,100000
19053,0.072193003,0.643996733,6,30000
28337,0.067112814,0.727008923,6,40000
36794,0.059774482,0.812294272,6,50000
43993,0.047369483,0.931846944,6,60000
45672,0.036399051,1.025920858,6,70000
48402,0.031565145,1.054956124,6,80000
50062,0.028506381,1.070856874,6,90000
51190,0.026364361,1.081935471,6,100000
18587,0.083644578,0.695048943,7,30000
27938,0.077402402,0.77530962,7,40000
37386,0.067294242,0.875117136,7,50000
39825,0.046572973,1.05146407,7,60000
42726,0.037675337,1.110885556,7,70000
44212,0.0336223,1.132248199,7,80000
45925,0.031015292,1.145804012,7,90000
47387,0.02911602,1.155795937,7,100000
18269,0.095745355,0.728380606,8,30000
26870,0.089309582,0.799118021,8,40000
38084,0.078781228,0.892916312,8,50000
41219,0.048199516,1.132089188,8,60000
44633,0.041706103,1.165966755,8,70000
49624,0.03785179,1.184952818,8,80000
61044,0.035219837,1.198116368,8,90000
75739,0.033361423,1.207570598,8,100000
19788,0.109152947,0.753651829,9,30000
27639,0.10361368,0.809125408,9,40000
37414,0.095221446,0.877621175,9,50000
42591,0.055432704,1.165174203,9,60000
45976,0.048668937,1.197813352,9,70000
48872,0.044838568,1.216504017,9,80000
51018,0.042147827,1.230424206,9,90000
53157,0.040088084,1.241417436,9,100000
16830,0.124291435,0.766459707,10,30000
23926,0.119932632,0.806694385,10,40000
33083,0.114040742,0.852321531,10,50000
36601,0.097878044,0.964921872,10,60000
38884,0.059682153,1.205786036,10,70000
42607,0.054162717,1.232885935,10,80000
44902,0.05040133,1.25279052,10,90000
47012,0.047527636,1.268455775,10,100000
19102,0.038853247,0.117699801,1,30000
27268,0.039266866,0.237641462,1,40000
34150,0.037877989,0.298046702,1,50000
39824,0.036245389,0.340542426,1,60000
45044,0.034289622,0.381147112,1,70000
49416,0.032191589,0.421640294,1,80000
53291,0.030072933,0.457046327,1,90000
57134,0.027932434,0.489632068,1,100000
16086,0.13998004,0.77649369,11,30000
21380,0.137007824,0.799740079,11,40000
22817,0.133362278,0.824439838,11,50000
30487,0.12817602,0.858063998,11,60000
33449,0.116140262,0.933004066,11,70000
36248,0.067473758,1.225827223,11,80000
40326,0.061216337,1.257947945,11,90000
41758,0.056859256,1.281753577,11,100000
14899,0.155626385,0.778621258,12,30000
18717,0.153272119,0.793137227,12,40000
21995,0.151231528,0.803484701,12,50000
26568,0.148018345,0.823861131,12,60000
28417,0.14318731,0.85208364,12,70000
37456,0.136402115,0.890554327,12,80000
43796,0.078248066,1.225055413,12,90000
45777,0.069973546,1.269287613,12,100000
15112,0.17231932,0.782726017,13,30000
17607,0.169862522,0.793571838,13,40000
20086,0.167812536,0.802498578,13,50000
22667,0.165682984,0.812707494,13,60000
26704,0.162817345,0.827843592,13,70000
32091,0.159088356,0.848403845,13,80000
34227,0.154627699,0.870192584,13,90000
36305,0.149047801,0.898762376,13,100000
12116,0.188596659,0.788008901,14,30000
13429,0.186337846,0.792159016,14,40000
16912,0.184479912,0.799894619,14,50000
18274,0.182572156,0.80891261,14,60000
19661,0.180341914,0.819531018,14,70000
23944,0.177929352,0.831119792,14,80000
25425,0.175393429,0.842980991,14,90000
26777,0.172633764,0.855454317,14,100000
11885,0.204639113,0.793993384,15,30000
14656,0.202525974,0.797429636,15,40000
17276,0.200953445,0.798728255,15,50000
18755,0.199497212,0.803303516,15,60000
20165,0.197964735,0.808811295,15,70000
21585,0.196274597,0.815571745,15,80000
22998,0.194629734,0.822622253,15,90000
24415,0.192896836,0.830465079,15,100000
0,0.039545164,0.238075429,2,30000
30162,0.038472457,0.321895474,2,40000
36741,0.037271864,0.395433337,2,50000
