r/R,chord(mm),twist(deg),twist(rad),Sweep(deg)
0.05,12.383,0,0,0.3908
0.1,12.424,0,0,-2.8374
0.15,16.255,11.13,0.194255146,-4.4401
0.2,23.683,19.43,0.339117474,-0.4444
0.25,23.903,18.35,0.320267918,1.272
0.3,23.374,16.87,0.294437045,1.7958
0.35,22.751,15.72,0.274365758,2.3885
0.4,22.083,14.64,0.255516202,2.6107
0.45,21.385,13.62,0.237713844,2.922
0.5,20.636,12.81,0.223576677,3.1201
0.55,19.883,12.12,0.211533905,3.1316
0.6,19.153,11.35,0.19809487,3.2207
0.65,18.414,10.86,0.189542757,3.2298
0.7,17.714,10.36,0.180816111,3.4178
0.75,16.994,10.07,0.175754656,3.5905
0.8,16.272,9.59,0.167377075,3.7971
0.85,15.508,9.38,0.163711884,3.6747
0.9,14.781,8.75,0.15271631,4.9177
0.95,13.942,9.02,0.157428699,19.3135
